study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJNA255796	SAMN02929048	SRX658406	SRR1521870	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1521870/SRR1521870.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/000/SRR1521870	GSM1441301	H3K4me2_LT_HSC.ucsc
PRJNA255796	SAMN02929048	SRX658406	SRR1521871	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1521871/SRR1521871.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/001/SRR1521871	GSM1441301	H3K4me2_LT_HSC.ucsc
PRJNA255796	SAMN02929049	SRX658407	SRR1521872	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/002/SRR1521872/SRR1521872.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/002/SRR1521872	GSM1441302	H3K4me2_ST_HSC.ucsc
PRJNA255796	SAMN02929049	SRX658407	SRR1521873	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1521873/SRR1521873.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/003/SRR1521873	GSM1441302	H3K4me2_ST_HSC.ucsc
PRJNA255796	SAMN02929049	SRX658407	SRR1521874	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1521874/SRR1521874.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/004/SRR1521874	GSM1441302	H3K4me2_ST_HSC.ucsc
PRJNA255796	SAMN02929050	SRX658408	SRR1521875	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/005/SRR1521875/SRR1521875.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/005/SRR1521875	GSM1441303	H3K4me2_MPP.ucsc
PRJNA255796	SAMN02929050	SRX658408	SRR1521876	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/006/SRR1521876/SRR1521876.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/006/SRR1521876	GSM1441303	H3K4me2_MPP.ucsc
PRJNA255796	SAMN02929050	SRX658408	SRR1521877	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1521877/SRR1521877.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/007/SRR1521877	GSM1441303	H3K4me2_MPP.ucsc
PRJNA255796	SAMN02929051	SRX658409	SRR1521878	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/008/SRR1521878/SRR1521878.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/008/SRR1521878	GSM1441304	H3K4me2_CMP.ucsc
PRJNA255796	SAMN02929051	SRX658409	SRR1521879	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1521879/SRR1521879.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/009/SRR1521879	GSM1441304	H3K4me2_CMP.ucsc
PRJNA255796	SAMN02929051	SRX658409	SRR1521880	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1521880/SRR1521880.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/000/SRR1521880	GSM1441304	H3K4me2_CMP.ucsc
PRJNA255796	SAMN02929054	SRX658410	SRR1521881	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1521881/SRR1521881.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/001/SRR1521881	GSM1441305	H3K4me2_GMP.ucsc
PRJNA255796	SAMN02929054	SRX658410	SRR1521882	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/002/SRR1521882/SRR1521882.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/002/SRR1521882	GSM1441305	H3K4me2_GMP.ucsc
PRJNA255796	SAMN02929054	SRX658410	SRR1521883	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1521883/SRR1521883.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/003/SRR1521883	GSM1441305	H3K4me2_GMP.ucsc
PRJNA255796	SAMN02929055	SRX658411	SRR1521884	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1521884/SRR1521884.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/004/SRR1521884	GSM1441306	H3K4me2_MEP.ucsc
PRJNA255796	SAMN02929055	SRX658411	SRR1521885	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/005/SRR1521885/SRR1521885.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/005/SRR1521885	GSM1441306	H3K4me2_MEP.ucsc
PRJNA255796	SAMN02929056	SRX658412	SRR1521886	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/006/SRR1521886/SRR1521886.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/006/SRR1521886	GSM1441307	H3K4me2_EryA.ucsc
PRJNA255796	SAMN02929057	SRX658413	SRR1521887	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1521887/SRR1521887.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/007/SRR1521887	GSM1441308	H3K4me2_EryB.ucsc
PRJNA255796	SAMN02929058	SRX658414	SRR1521888	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/008/SRR1521888/SRR1521888.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/008/SRR1521888	GSM1441309	H3K4me2_GN.ucsc
PRJNA255796	SAMN02929058	SRX658414	SRR1521889	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1521889/SRR1521889.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/009/SRR1521889	GSM1441309	H3K4me2_GN.ucsc
